,epochs,lr,train_loss,train_accuracy,train_recall_precision,val_loss,val_accuracy,val_recall_precision
0,0,[0.0007938926261462187],0.6288093154447792,0.7859854014598543,0.7860072992700727,0.502921584106627,0.8228571428571431,0.8230238095238095
1,1,[0.00034549150281253815],0.5656006150219562,0.8087591240875913,0.8092627737226279,0.45468287347328096,0.8445238095238095,0.8441190476190479
2,2,[2.4471741852423235e-05],0.5250548584400302,0.8207299270072994,0.82043795620438,0.5437586793587321,0.7964285714285714,0.7967619047619049
3,3,[9.549150281253546e-05],0.48724706025019177,0.8310218978102193,0.831102189781022,0.46293546862545465,0.8442857142857141,0.8434285714285716
4,4,[0.0005000000000000911],0.48392734138199883,0.8338686131386863,0.8334598540145982,0.4425383394672757,0.8461904761904762,0.8463809523809525
5,5,[0.0009045084971875002],0.44804999710869614,0.8472992700729928,0.846678832116788,0.4515322698723702,0.8423809523809525,0.8424047619047619
6,6,[0.0009755282581476609],0.41384255478199383,0.8572992700729927,0.8562992700729926,0.37921760302214397,0.8726190476190477,0.8722142857142856
7,7,[0.0006545084971876834],0.42692890654515175,0.8486131386861311,0.8477810218978105,0.4073733520649728,0.858095238095238,0.8570238095238093
8,8,[0.00020610737385373063],0.396112854354573,0.8604379562043794,0.8597007299270069,0.37712091526814867,0.872142857142857,0.8702142857142857
9,9,[0.0],0.367427864105162,0.8732116788321165,0.871598540145985,0.3966676839405582,0.8642857142857144,0.8633095238095239
10,10,[0.00020610737385379856],0.3381577985782693,0.8790510948905106,0.8778102189781021,0.3720343648677781,0.8702380952380951,0.8691428571428571
11,11,[0.0006545084971877405],0.34312362218425224,0.8821897810218974,0.8809854014598538,0.36132418071585043,0.8823809523809526,0.8806190476190474
12,12,[0.0009755282581475038],0.3439122784311754,0.8732846715328462,0.8723138686131386,0.372520514719543,0.878095238095238,0.8773809523809524
13,13,[0.0009045084971876178],0.31715690224927706,0.8899270072992692,0.88851094890511,0.3303059210025129,0.8900000000000002,0.8884285714285712
