,epochs,lr,train_loss,train_accuracy,train_recall_precision,val_loss,val_accuracy,val_recall_precision
0,0,[0.0007938926261462187],0.7082357097716228,0.7486131386861313,0.7483649635036497,0.8217698406605494,0.7080952380952381,0.7073333333333333
1,1,[0.00034549150281253815],0.6101517970979649,0.7842335766423361,0.7841605839416056,0.7952793318600881,0.7285714285714285,0.7289523809523809
2,2,[2.4471741852423235e-05],0.5534399673886543,0.8005839416058397,0.8005547445255471,0.7658752174604506,0.7352380952380952,0.7356666666666667
3,3,[9.549150281253546e-05],0.5037112364368718,0.8208029197080298,0.8209197080291967,0.766441787992205,0.7385714285714287,0.7384761904761904
4,4,[0.0005000000000000911],0.45830312044951166,0.8375182481751825,0.8371021897810216,1.0311232642048882,0.6778571428571429,0.6782857142857143
5,5,[0.0009045084971875002],0.4366636945165857,0.8524087591240875,0.8514598540145984,0.8124213069677353,0.7290476190476192,0.7288333333333332
6,6,[0.0009755282581476609],0.40469977227005643,0.8574452554744525,0.8565109489051093,0.7440140893061956,0.7461904761904761,0.7465476190476191
7,7,[0.0006545084971876834],0.39704344644598716,0.8585401459854012,0.8574306569343064,0.7486749539772669,0.7521428571428572,0.7529999999999999
8,8,[0.00020610737385373063],0.34320690357772105,0.8825547445255472,0.8814160583941606,0.7718802804038638,0.7388095238095238,0.7385476190476191
9,9,[0.0],0.33736804864593667,0.8818248175182475,0.8802700729927008,0.7214587110848654,0.7752380952380953,0.7756666666666666
10,10,[0.00020610737385379856],0.3179127448612321,0.888175182481751,0.8869343065693435,0.7291583936838877,0.7571428571428575,0.7569999999999997
11,11,[0.0006545084971877405],0.3038746973458868,0.8940145985401452,0.892452554744526,0.8792180674416679,0.7342857142857143,0.7335714285714285
12,12,[0.0009755282581475038],0.2981020849551598,0.8954744525547437,0.893759124087592,0.7432389323200498,0.768095238095238,0.7683809523809524
13,13,[0.0009045084971876178],0.2757832539016313,0.9048905109489042,0.9029124087591244,0.793177801938284,0.7595238095238095,0.7595238095238095
14,14,[0.0005000000000001413],0.2718382247444922,0.9067883211678823,0.9051824817518253,0.7983584262075878,0.7616666666666668,0.7615476190476189
15,15,[9.549150281251833e-05],0.27026308159323503,0.9047445255474442,0.9029051094890511,0.7602500362055642,0.7783333333333331,0.7786904761904765
16,16,[2.447174185244077e-05],0.2556304597452174,0.9122627737226269,0.9107591240875914,0.7845748960971832,0.7657142857142857,0.7659761904761905
17,17,[0.00034549150281261095],0.2443445546239832,0.9158394160583931,0.9139124087591242,0.7675450408742541,0.7666666666666666,0.7671428571428572
18,18,[0.0007938926261460943],0.23452532514385935,0.9169343065693419,0.9150364963503655,0.8008481845969245,0.7616666666666666,0.7620952380952382
19,19,[0.001],0.22686085170202883,0.9221897810218967,0.9202700729927008,0.7424093332319033,0.7799999999999999,0.7803095238095239
20,20,[0.000793892626145808],0.2188694140445577,0.9222627737226265,0.9205474452554748,0.8146156572869846,0.7697619047619048,0.7703095238095239
21,21,[0.0003454915028126895],0.23247264630168024,0.9233576642335756,0.9213795620437958,0.8094317175093151,0.761190476190476,0.7616666666666669
22,22,[2.4471741852423235e-05],0.22860289745739776,0.920802919708028,0.9191824817518246,0.7496497379172415,0.785952380952381,0.7855714285714286
23,23,[9.549150281253385e-05],0.22048926110087086,0.9260583941605828,0.9241751824817519,0.7397108674049377,0.7773809523809524,0.7771428571428571
24,24,[0.0005000000000005751],0.2141927519582049,0.9253284671532837,0.9234744525547448,0.7533700437772841,0.7714285714285716,0.7719285714285714
25,25,[0.0009045084971879756],0.22210292839003307,0.9216788321167872,0.9196131386861318,0.779441665325846,0.7685714285714286,0.7684999999999998
26,26,[0.0009755282581476304],0.20005987780372592,0.9244525547445245,0.9225766423357666,0.7859059160663968,0.7738095238095238,0.7735476190476189
27,27,[0.0006545084971881462],0.19777005973414782,0.9332116788321156,0.9314963503649637,0.8040002825714293,0.7678571428571429,0.7672380952380953
28,28,[0.00020610737385383076],0.20633614377329385,0.9316788321167875,0.9301313868613138,0.82524060351508,0.7597619047619046,0.7609047619047621
29,29,[0.0],0.18768826052274581,0.9329197080291959,0.9310437956204379,0.8080915539037614,0.7742857142857144,0.7743333333333334
30,30,[0.00020610737385389716],0.17887182584046013,0.9421897810218967,0.9401751824817518,0.7572308086923191,0.7811904761904761,0.7815
31,31,[0.0006545084971877305],0.17343794124160153,0.9393430656934294,0.9376715328467154,0.8439150970606577,0.776904761904762,0.7771428571428571
32,32,[0.0009755282581475078],0.18193919279605802,0.9335766423357649,0.9315036496350372,0.7301067319654283,0.7852380952380952,0.7857142857142857
33,33,[0.0009045084971882562],0.17386153110568106,0.9400729927007289,0.9383649635036495,0.7465655072813943,0.7845238095238096,0.7845238095238096
34,34,[0.0005000000000001366],0.17913911619434392,0.9393430656934294,0.9372043795620442,0.7490851416119507,0.7821428571428571,0.7821666666666665
35,35,[9.549150281265491e-05],0.1531432842033623,0.9496350364963491,0.9477153284671537,0.7399030526479086,0.7933333333333336,0.7940238095238095
36,36,[2.4471741852422632e-05],0.16254171080561014,0.9453284671532833,0.9433576642335769,0.7483816893682593,0.7826190476190478,0.7824285714285713
37,37,[0.00034549150281271347],0.15490473012854583,0.9458394160583932,0.944284671532847,0.8100467281682151,0.7759523809523808,0.7758333333333335
38,38,[0.000793892626147223],0.15620967348779205,0.9432116788321155,0.9413284671532848,0.7854166619834446,0.7852380952380953,0.7849285714285714
39,39,[0.0009999999999992693],0.1496888194844997,0.9497080291970792,0.9479416058394158,0.8143254671068418,0.7814285714285716,0.7811428571428569
40,40,[0.000793892626146369],0.13110589839681222,0.9585401459854004,0.9570510948905111,0.7584380628097624,0.8016666666666667,0.8019047619047621
41,41,[0.0003454915028128261],0.1563509365231016,0.9497810218978092,0.948138686131387,0.805751811890375,0.782142857142857,0.7827619047619049
42,42,[2.4471741852423235e-05],0.15847259786415058,0.9452554744525538,0.9433941605839417,0.8077553006864729,0.7840476190476192,0.7837142857142856
43,43,[9.549150281253196e-05],0.14602459152738978,0.9494890510948893,0.9479489051094893,0.8637687606470925,0.7752380952380953,0.7761428571428571
44,44,[0.0004999999999997356],0.15370012086945295,0.9450364963503639,0.9433868613138684,0.7917001630578723,0.7921428571428573,0.791285714285714
45,45,[0.0009045084971879647],0.15015654537799586,0.9503649635036487,0.9488029197080289,0.7653251187432379,0.7904761904761906,0.7899523809523809
46,46,[0.0009755282581490557],0.13913822290997435,0.9497080291970792,0.9479270072992704,0.8100100968565259,0.7778571428571427,0.7778809523809526
47,47,[0.0006545084971881397],0.13940362709091744,0.9516788321167875,0.9504671532846709,0.8151169674737113,0.7902380952380954,0.7900952380952381
48,48,[0.0002061073738538288],0.14415075452522422,0.9513868613138676,0.9497226277372263,0.7767912837721053,0.7926190476190476,0.7926428571428572
49,49,[0.0],0.14724775403058224,0.9499270072992689,0.9483941605839414,0.8953633421943301,0.7833333333333333,0.7836666666666667
50,50,[0.00020610737385389345],0.14056162244851028,0.9547445255474443,0.9534306569343062,0.872200479110082,0.7664285714285713,0.767
51,51,[0.0006545084971877222],0.1301080588604847,0.9559854014598528,0.9543138686131386,0.8385221674328759,0.7745238095238095,0.7738571428571428
52,52,[0.0009755282581474956],0.12123213235941464,0.9599270072992689,0.9584233576642336,0.823584836153757,0.7845238095238096,0.784452380952381
53,53,[0.0009045084971894787],0.1369579817596687,0.9540875912408752,0.9527372262773719,0.7671215172324862,0.7821428571428571,0.7823095238095238
54,54,[0.0004999999999992992],0.13742472402017264,0.9539416058394148,0.9525328467153283,0.783712315772261,0.8014285714285715,0.8018809523809522
55,55,[9.549150281265417e-05],0.11581880712106715,0.958102189781021,0.95663503649635,0.7820511172924723,0.7888095238095238,0.7877380952380951
56,56,[2.4471741852422015e-05],0.13729225215332133,0.9542335766423347,0.9529635036496347,0.8157593845611527,0.7752380952380952,0.7759047619047619
57,57,[0.0003454915028132045],0.13827030077223143,0.9531386861313857,0.9516204379562041,0.8293764569929668,0.7847619047619048,0.7850476190476189
58,58,[0.000793892626147305],0.1281146893386532,0.9572262773722621,0.9558832116788318,0.7912183602650961,0.7847619047619048,0.7846428571428571
59,59,[0.0010000000000006917],0.125002889356909,0.960145985401459,0.9588540145985399,0.7959626909522783,0.7849999999999999,0.7847857142857142
60,60,[0.0007938926261463585],0.1128765123277685,0.9635766423357653,0.9623357664233573,0.7681681137709391,0.7883333333333333,0.7880714285714285
